D://crw_data//pd.read_csv\source3198\code\pd.DataFrame.ix_replace0.py,"ValueError: Location based indexing can only have [integer, integer slice (START point is INCLUDED, END point is EXCLUDED), listlike of integers, boolean array] types","writer.writerow([url, 77, 'train.ix[:, ((train != -1).any(axis=0))]',
    'train.iloc[:, ((train != -1).any(axis=0))]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",ValueError
D://crw_data//pd.read_csv\source3198\code\pd.DataFrame.ix_replace1.py,"ValueError: Location based indexing can only have [integer, integer slice (START point is INCLUDED, END point is EXCLUDED), listlike of integers, boolean array] types","writer.writerow([url, 78, 'test.ix[:, ((test != -1).any(axis=0))]',
    'test.iloc[:, ((test != -1).any(axis=0))]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",ValueError
D://crw_data//pd.read_csv\source40\code\pd.DataFrame.ix_replace0.py,"ValueError: Location based indexing can only have [integer, integer slice (START point is INCLUDED, END point is EXCLUDED), listlike of integers, boolean array] types","writer.writerow([url, 81, 'train.ix[:, ((train != -1).any(axis=0))]',
    'train.iloc[:, ((train != -1).any(axis=0))]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",ValueError
D://crw_data//pd.read_csv\source40\code\pd.DataFrame.ix_replace1.py,"ValueError: Location based indexing can only have [integer, integer slice (START point is INCLUDED, END point is EXCLUDED), listlike of integers, boolean array] types","writer.writerow([url, 82, 'test.ix[:, ((test != -1).any(axis=0))]',
    'test.iloc[:, ((test != -1).any(axis=0))]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",ValueError
D://crw_data//pd.read_csv\source484\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 24, 'train.ix[0:10000]', 'train.iloc[0:10000]', t1,
    t2, 'pd.DataFrame.ix', 'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//pd.read_csv\source846\code\pd.DataFrame.ix_replace0.py,"ValueError: Location based indexing can only have [integer, integer slice (START point is INCLUDED, END point is EXCLUDED), listlike of integers, boolean array] types","writer.writerow([url, 77, 'train.ix[:, ((train != -1).any(axis=0))]',
    'train.iloc[:, ((train != -1).any(axis=0))]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",ValueError
D://crw_data//pd.read_csv\source846\code\pd.DataFrame.ix_replace1.py,"ValueError: Location based indexing can only have [integer, integer slice (START point is INCLUDED, END point is EXCLUDED), listlike of integers, boolean array] types","writer.writerow([url, 78, 'test.ix[:, ((test != -1).any(axis=0))]',
    'test.iloc[:, ((test != -1).any(axis=0))]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",ValueError
D://crw_data//df.join\source46\code\pd.DataFrame.loc_replace11.py,AttributeError: \'float\' object has no attribute \'equals\',"writer.writerow([url, 512, ""test_df.loc[1116, 'GarageType']"",
    ""test_df.ix[1116, 'GarageType']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source61\code\pd.DataFrame.loc_replace0.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 30, ""test_df.loc[666, 'GarageQual']"",
    ""test_df.ix[666, 'GarageQual']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source61\code\pd.DataFrame.loc_replace1.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 31, ""test_df.loc[666, 'GarageCond']"",
    ""test_df.ix[666, 'GarageCond']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source61\code\pd.DataFrame.loc_replace2.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 32, ""test_df.loc[666, 'GarageFinish']"",
    ""test_df.ix[666, 'GarageFinish']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source61\code\pd.DataFrame.loc_replace3.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 33, ""test_df.loc[666, 'GarageYrBlt']"",
    ""test_df.ix[666, 'GarageYrBlt']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source61\code\pd.DataFrame.loc_replace4.py,AttributeError: \'float\' object has no attribute \'equals\',"writer.writerow([url, 37, ""test_df.loc[1116, 'GarageType']"",
    ""test_df.ix[1116, 'GarageType']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source62\code\pd.DataFrame.loc_replace0.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 29, ""test_df.loc[666, 'GarageQual']"",
    ""test_df.ix[666, 'GarageQual']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source62\code\pd.DataFrame.loc_replace1.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 30, ""test_df.loc[666, 'GarageCond']"",
    ""test_df.ix[666, 'GarageCond']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source62\code\pd.DataFrame.loc_replace2.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 31, ""test_df.loc[666, 'GarageFinish']"",
    ""test_df.ix[666, 'GarageFinish']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source62\code\pd.DataFrame.loc_replace3.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 32, ""test_df.loc[666, 'GarageYrBlt']"",
    ""test_df.ix[666, 'GarageYrBlt']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source62\code\pd.DataFrame.loc_replace4.py,AttributeError: \'float\' object has no attribute \'equals\',"writer.writerow([url, 36, ""test_df.loc[1116, 'GarageType']"",
    ""test_df.ix[1116, 'GarageType']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.join\source7\code\pd.DataFrame.loc_replace1.py,"KeyError: ""None of [Index([\'EXT_SOURCE_1\', \'EXT_SOURCE_2\', \'EXT_SOURCE_3\', \'DAYS_BIRTH\',\\n       \'CNT_PAYMENT\', \'AMT_CREDIT\', \'AMT_ANNUITY\', \'AMT_GOODS_PRICE\',\\n       \'AMT_APPLICATION\', \'DAYS_EMPLOYED\', \'AMT_CREDIT_SUM_DEBT\',\\n       \'AMT_CREDIT_SUM\', \'DAYS_ID_PUBLISH\', \'AMT_CREDIT_MAX_OVERDUE\',\\n       \'SELLERPLACE_AREA\', \'DAYS_CREDIT\', \'AMT_DOWN_PAYMENT\',\\n       \'DAYS_CREDIT_ENDDATE\', \'DAYS_REGISTRATION\', \'CNT_DRAWINGS_ATM_CURRENT\',\\n       \'DAYS_ENDDATE_FACT\', \'OWN_CAR_AGE\', \'DAYS_DECISION\',\\n       \'DAYS_LAST_PHONE_CHANGE\', \'DAYS_LAST_DUE_1ST_VERSION\',\\n       \'DAYS_CREDIT_UPDATE\', \'DAYS_FIRST_DUE\', \'DAYS_TERMINATION\',\\n       \'DAYS_LAST_DUE\', \'cnt_SK_ID_BUREAU\', \'CNT_DRAWINGS_CURRENT\',\\n       \'CODE_GENDER\', \'AMT_INCOME_TOTAL\', \'ORGANIZATION_TYPE\',\\n       \'bureau_balance_r=0\', \'RATE_DOWN_PAYMENT\', \'REGION_POPULATION_RELATIVE\',\\n       \'NAME_EDUCATION_TYPE\', \'AMT_CREDIT_SUM_LIMIT\', \'LONGEST_MONTHS\',\\n       \'cnt_SK_ID_PREV\', \'AMT_CREDIT_LIMIT_ACTUAL\', \'OCCUPATION_TYPE\',\\n       \'AMT_PAYMENT_CURRENT\', \'NAME_FAMILY_STATUS\',\\n       \'NFLAG_INSURED_ON_APPROVAL\', \'bureau_balance_r=C\', \'TOTALAREA_MODE\',\\n       \'bureau_balance_r=X\', \'bureau_balance_r=1\'],\\n      dtype=\'object\', name=\'feature\')] are in the [columns]""","writer.writerow([url, 293,
    'pd.concat(feature_importance_dfs, axis=0).loc[cols]',
    'pd.concat(feature_importance_dfs, axis=0)[cols]', t1, t2,
    'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//df.loc\source101\code\pd.DataFrame.loc_replace0.py,KeyError: 14712,"writer.writerow([url, 57, ""train_df.loc[train_df['q1_freq'].idxmax()]"",
    ""train_df[train_df['q1_freq'].idxmax()]"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame'])
",KeyError
D://crw_data//df.loc\source101\code\pd.DataFrame.loc_replace1.py,KeyError: 0,"writer.writerow([url, 62, 'test_df.loc[test_1_int_idx]',
    'test_df[test_1_int_idx]', t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//df.loc\source107\code\pd.DataFrame.loc_replace0.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 63, ""train_df.loc[iter, 'Name']"",
    ""train_df.ix[iter, 'Name']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix']
    )
",AttributeError
D://crw_data//df.loc\source107\code\pd.DataFrame.loc_replace1.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 63, ""train_df.loc[iter, 'Title']"",
    ""train_df.ix[iter, 'Title']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.loc\source107\code\pd.DataFrame.loc_replace4.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 165, ""test_df.loc[iter, 'Name']"",
    ""test_df.ix[iter, 'Name']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//df.loc\source107\code\pd.DataFrame.loc_replace5.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 165, ""test_df.loc[iter, 'Title']"",
    ""test_df.ix[iter, 'Title']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix']
    )
",AttributeError
D://crw_data//df.loc\source220\code\pd.DataFrame.loc_replace0.py,AttributeError: \'numpy.float64\' object has no attribute \'equals\',"writer.writerow([url, 14, ""df.loc[passenger, 'Age']"",
    ""df.ix[passenger, 'Age']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.abs\source96\code\pd.DataFrame.loc_replace0.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 93, ""keys.loc[newkey, 'Id']"", ""keys.ix[newkey, 'Id']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.abs\source99\code\pd.DataFrame.loc_replace0.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 93, ""keys.loc[newkey, 'Id']"", ""keys.ix[newkey, 'Id']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.arange\source267\code\pd.DataFrame.loc_replace0.py,"KeyError: ""None of [Int64Index([     0,      1,      2,      4,      5,      6,      7,      8,\\n                 9,     10,\\n            ...\\n            595199, 595200, 595203, 595204, 595205, 595206, 595207, 595209,\\n            595210, 595211],\\n           dtype=\'int64\', length=476169)] are in the [columns]""","writer.writerow([url, 89, 'X_train.loc[train_index]',
    'X_train[train_index]', t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//np.array\source575\code\pd.DataFrame.loc_replace0.py,"KeyError: MemoryError((116, 313864), dtype(\'O\'))","writer.writerow([url, 17, ""c.loc[:, (c.columns.str.startswith('cat'))]"",
    ""c.ix[:, (c.columns.str.startswith('cat'))]"", t1, t2,
    'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",KeyError
D://crw_data//np.column_stack\source17\code\pd.DataFrame.loc_replace6.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 194, ""train.loc[i, 'numFam']"",
    ""train.ix[i, 'numFam']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source17\code\pd.DataFrame.loc_replace7.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 192, ""train.loc[i, 'numFam']"",
    ""train.ix[i, 'numFam']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source17\code\pd.DataFrame.loc_replace8.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 190, ""train.loc[i, 'numFam']"",
    ""train.ix[i, 'numFam']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source17\code\pd.DataFrame.loc_replace9.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 188, ""train.loc[i, 'numFam']"",
    ""train.ix[i, 'numFam']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source17\code\pd.DataFrame.loc_replace10.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 206, ""test.loc[i, 'numFam']"", ""test.ix[i, 'numFam']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source17\code\pd.DataFrame.loc_replace11.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 204, ""test.loc[i, 'numFam']"", ""test.ix[i, 'numFam']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source17\code\pd.DataFrame.loc_replace12.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 202, ""test.loc[i, 'numFam']"", ""test.ix[i, 'numFam']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source17\code\pd.DataFrame.loc_replace13.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 200, ""test.loc[i, 'numFam']"", ""test.ix[i, 'numFam']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source18\code\pd.DataFrame.loc_replace6.py,AttributeError: \'numpy.int64\' object has no attribute \'equals\',"writer.writerow([url, 121, ""train.loc[i, 'SibSp']"", ""train.ix[i, 'SibSp']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source18\code\pd.DataFrame.loc_replace7.py,AttributeError: \'numpy.int64\' object has no attribute \'equals\',"writer.writerow([url, 119, ""train.loc[i, 'SibSp']"", ""train.ix[i, 'SibSp']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source18\code\pd.DataFrame.loc_replace8.py,AttributeError: \'numpy.int64\' object has no attribute \'equals\',"writer.writerow([url, 127, ""test.loc[i, 'SibSp']"", ""test.ix[i, 'SibSp']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source18\code\pd.DataFrame.loc_replace9.py,AttributeError: \'numpy.int64\' object has no attribute \'equals\',"writer.writerow([url, 125, ""test.loc[i, 'SibSp']"", ""test.ix[i, 'SibSp']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source18\code\pd.DataFrame.loc_replace11.py,AttributeError: \'numpy.int64\' object has no attribute \'equals\',"writer.writerow([url, 140, ""train.loc[i, 'Parch']"", ""train.ix[i, 'Parch']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//np.column_stack\source18\code\pd.DataFrame.loc_replace12.py,AttributeError: \'numpy.int64\' object has no attribute \'equals\',"writer.writerow([url, 148, ""test.loc[i, 'Parch']"", ""test.ix[i, 'Parch']"",
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.concat\source114\code\pd.DataFrame.loc_replace0.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 30, ""Surname_list.loc[ctr, 'Surname']"",
    ""Surname_list.ix[ctr, 'Surname']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.concat\source114\code\pd.DataFrame.loc_replace1.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 35, ""Title_list.loc[ctr, 'Title']"",
    ""Title_list.ix[ctr, 'Title']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.concat\source114\code\pd.DataFrame.loc_replace9.py,"AttributeError: (""\'numpy.float64\' object has no attribute \'equals\'"", \'occurred at index 5\')","writer.writerow([url, 150,
    ""Filler_Ages.male.loc[row['Title'], row['Pclass']]"",
    ""Filler_Ages.male.ix[row['Title'], row['Pclass']]"", t1, t2,
    'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.concat\source114\code\pd.DataFrame.loc_replace10.py,"AttributeError: (""\'numpy.float64\' object has no attribute \'equals\'"", \'occurred at index 19\')","writer.writerow([url, 146,
    ""Filler_Ages.female.loc[row['Title'], row['Pclass']]"",
    ""Filler_Ages.female.ix[row['Title'], row['Pclass']]"", t1, t2,
    'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.concat\source41\code\pd.DataFrame.loc_replace0.py,"KeyError: ""None of [Int64Index([     2,      6,      7,     13,     26,     29,     33,     34,\\n                39,     44,\\n            ...\\n            595165, 595166, 595169, 595178, 595180, 595183, 595184, 595187,\\n            595203, 595211],\\n           dtype=\'int64\', length=119043)] are in the [columns]""","writer.writerow([url, 898, 'train.loc[test_index]', 'train[test_index]', t1,
    t2, 'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//pd.concat\source41\code\pd.DataFrame.loc_replace1.py,"KeyError: ""None of [Int64Index([     0,      1,      3,      4,      5,      8,      9,     10,\\n                11,     12,\\n            ...\\n            595200, 595201, 595202, 595204, 595205, 595206, 595207, 595208,\\n            595209, 595210],\\n           dtype=\'int64\', length=476169)] are in the [columns]""","writer.writerow([url, 899, 'train.loc[train_index]', 'train[train_index]',
    t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//pd.concat\source493\code\pd.DataFrame.loc_replace0.py,"KeyError: ""None of [Int64Index([692, 481, 527, 855, 801, 652, 509, 557, 828,  18,\\n            ...\\n            104, 177, 544, 680, 476, 359, 258, 736, 462, 507],\\n           dtype=\'int64\', length=712)] are in the [columns]""","writer.writerow([url, 88, 'train_data.loc[train_index]',
    'train_data[train_index]', t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//pd.concat\source493\code\pd.DataFrame.loc_replace1.py,"KeyError: ""None of [Int64Index([565, 160, 553, 860, 241, 559, 387, 536, 698,  99,\\n            ...\\n            142, 349, 354, 295, 143, 880,  91, 883, 473, 637],\\n           dtype=\'int64\', length=179)] are in the [columns]""","writer.writerow([url, 89, 'train_data.loc[test_index]',
    'train_data[test_index]', t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//pd.concat\source596\code\pd.DataFrame.loc_replace1.py,AttributeError: \'numpy.float64\' object has no attribute \'equals\',"writer.writerow([url, 185, ""full.loc[1043, 'Fare']"",
    ""full.ix[1043, 'Fare']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.concat\source596\code\pd.DataFrame.loc_replace2.py,AttributeError: \'numpy.int64\' object has no attribute \'equals\',"writer.writerow([url, 197, ""full.loc[i - 1, 'Pclass']"",
    ""full.ix[i - 1, 'Pclass']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.concat\source596\code\pd.DataFrame.loc_replace3.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 198, ""full.loc[i - 1, 'Sex']"",
    ""full.ix[i - 1, 'Sex']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.concat\source596\code\pd.DataFrame.loc_replace4.py,AttributeError: \'numpy.float64\' object has no attribute \'equals\',"writer.writerow([url, 199, ""full.loc[i - 1, 'Age']"",
    ""full.ix[i - 1, 'Age']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.concat\source672\code\pd.DataFrame.loc_replace0.py,"KeyError: ""None of [Int64Index([     1,      2,      3,      4,      5,     12,     15,     19,\\n                21,     22,\\n            ...\\n            101984, 101986, 101987, 101988, 101991, 101992, 101993, 101994,\\n            101998, 101999],\\n           dtype=\'int64\', name=\'Id\', length=50999)] are in the [columns]""","writer.writerow([url, 104, 'data.loc[train.index]', 'data[train.index]', t1,
    t2, 'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//pd.concat\source672\code\pd.DataFrame.loc_replace1.py,"KeyError: ""None of [Int64Index([     6,      7,      8,      9,     10,     11,     13,     14,\\n                16,     17,\\n            ...\\n            101977, 101979, 101982, 101983, 101985, 101989, 101990, 101995,\\n            101996, 101997],\\n           dtype=\'int64\', name=\'Id\', length=51000)] are in the [columns]""","writer.writerow([url, 106, 'data.loc[test.index]', 'data[test.index]', t1,
    t2, 'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//pd.read_csv\source1390\code\pd.DataFrame.loc_replace0.py,KeyError: \'LotFrontage_missed\',"writer.writerow([url, 37, ""copy.loc[col + '_missed']"",
    ""copy[col + '_missed']"", t1, t2, 'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//pd.read_csv\source1448\code\pd.DataFrame.loc_replace4.py,KeyError: 5,"writer.writerow([url, 97, 'X.loc[5]', 'X[5]', t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame'])
",KeyError
D://crw_data//pd.read_csv\source1448\code\pd.DataFrame.loc_replace6.py,KeyError: 3,"writer.writerow([url, 127, 'X.loc[3]', 'X[3]', t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame'])
",KeyError
D://crw_data//pd.read_csv\source1467\code\pd.DataFrame.loc_replace0.py,AttributeError: \'str\' object has no attribute \'equals\',"writer.writerow([url, 67, ""df_titanic_train_mod.loc[index, 'Title']"",
    ""df_titanic_train_mod.ix[index, 'Title']"", t1, t2, 'pd.DataFrame.loc',
    'pd.DataFrame.ix'])
",AttributeError
D://crw_data//pd.read_csv\source1686\code\pd.DataFrame.loc_replace0.py,KeyError: 0,"writer.writerow(('PassengerId', 'Survived'))
",KeyError
D://crw_data//pd.read_csv\source1686\code\pd.DataFrame.loc_replace0.py,KeyError: 0,"writer.writerow([url, 143, 'data.loc[i]', 'data[i]', t1, t2,
    'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//pd.read_csv\source1686\code\pd.DataFrame.loc_replace0.py,KeyError: 0,"writer.writerow((str(ids[i]), str(survive_list[i])))
",KeyError
D://crw_data//pd.read_csv\source1686\code\pd.DataFrame.loc_replace1.py,KeyError: 0,"writer.writerow(('PassengerId', 'Survived'))
",KeyError
D://crw_data//pd.read_csv\source1686\code\pd.DataFrame.loc_replace1.py,KeyError: 0,"writer.writerow([url, 147, 'data.loc[i]', 'data[i]', t1, t2,
    'pd.DataFrame.loc', 'pd.DataFrame'])
",KeyError
D://crw_data//pd.read_csv\source1686\code\pd.DataFrame.loc_replace1.py,KeyError: 0,"writer.writerow((str(ids[i]), str(survive_list[i])))
",KeyError
