,,,,,ɸѡ,
facebook-v-predicting-check-ins,D://crw_data//df.loc\source224,129,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source83,50,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source266,163,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source82,129,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
house-prices-advanced-regression-techniques,D://crw_data//np.array\source1174,61,np.column_stack([y_preds[k][i] for k in clfs]),np.transpose([y_preds[k][i] for k in clfs]),np.column_stack,np.transpose
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.column_stack\source28,51,"np.column_stack((Idtest, YPred))","np.vstack((Idtest.T, YPred.T)).T",np.column_stack,np.vstack
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.column_stack\source28,51,"np.column_stack((Idtest, YPred))","np.transpose((Idtest, YPred))",np.column_stack,np.transpose
titanic,D://crw_data//np.column_stack\source18,203,"np.column_stack((idTest, test_result))","np.transpose((idTest, test_result))",np.column_stack,np.transpose
titanic,D://crw_data//df.iloc\source40,182,"np.column_stack((X_initial, test_df.iloc[:, (index)]))","np.transpose((X_initial, test_df.iloc[:, (index)]))",np.column_stack,np.transpose
titanic,D://crw_data//df.iloc\source40,88,"np.column_stack((X_initial, train_df_as_dic[key]))","np.vstack((X_initial.T, train_df_as_dic[key].T)).T",np.column_stack,np.vstack
titanic,D://crw_data//df.loc\source157,60,"np.column_stack((ids.T, predictions.T))","np.transpose((ids.T, predictions.T))",np.column_stack,np.transpose
titanic,D://crw_data//np.column_stack\source21,167,"np.column_stack((test['PassengerId'], test_result))","np.transpose((test['PassengerId'], test_result))",np.column_stack,np.transpose
titanic,D://crw_data//df.iloc\source40,91,"np.column_stack((X_initial, train_df.iloc[:, (index)]))","np.transpose((X_initial, train_df.iloc[:, (index)]))",np.column_stack,np.transpose
titanic,D://crw_data//np.column_stack\source17,377,"np.column_stack((idTest, test_result))","np.transpose((idTest, test_result))",np.column_stack,np.transpose
titanic,D://crw_data//df.loc\source157,60,"np.column_stack((ids.T, predictions.T))","np.vstack((ids.T.T, predictions.T.T)).T",np.column_stack,np.vstack
titanic,D://crw_data//np.count_nonzero\source6,121,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 1, 'Survived'].values)","np.sum(titanic.loc[titanic['Pclass'] == 1, 'Survived'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,153,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 2, 'Pclass'].values)","np.sum(titanic.loc[titanic['Pclass'] == 2, 'Pclass'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,175,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 1, 'Survived'].values)","np.sum(titanic.loc[titanic['Pclass'] == 1, 'Survived'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,171,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 1, 'Pclass'].values)","np.sum(titanic.loc[titanic['Pclass'] == 1, 'Pclass'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,157,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 2, 'Survived'].values)","np.sum(titanic.loc[titanic['Pclass'] == 2, 'Survived'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,89,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 3, 'Survived'].values)","np.sum(titanic.loc[titanic['Pclass'] == 3, 'Survived'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,101,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 2, 'Pclass'].values)","np.sum(titanic.loc[titanic['Pclass'] == 2, 'Pclass'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,135,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 3, 'Pclass'].values)","np.sum(titanic.loc[titanic['Pclass'] == 3, 'Pclass'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,139,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 3, 'Survived'].values)","np.sum(titanic.loc[titanic['Pclass'] == 3, 'Survived'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,117,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 1, 'Pclass'].values)","np.sum(titanic.loc[titanic['Pclass'] == 1, 'Pclass'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,105,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 2, 'Survived'].values)","np.sum(titanic.loc[titanic['Pclass'] == 2, 'Survived'].values!=0)",np.count_nonzero,np.sum
titanic,D://crw_data//np.count_nonzero\source6,85,"np.count_nonzero(titanic.loc[titanic['Pclass'] == 3, 'Pclass'].values)","np.sum(titanic.loc[titanic['Pclass'] == 3, 'Pclass'].values!=0)",np.count_nonzero,np.sum
coupon-purchase-prediction,D://crw_data//df.apply\source66,88,"np.dot(user_profiles, W)","np.einsum('ij,jm->im',user_profiles, W)",np.dot,np.einsum
coupon-purchase-prediction,D://crw_data//df.apply\source66,88,"np.dot(np.dot(user_profiles, W), test_only_features.T)","np.einsum('ij,jm->im',np.dot(user_profiles, W), test_only_features.T)",np.dot,np.einsum
digit-recognizer,D://crw_data//np.argmax\source110,103,"np.dot(delta, activations[-2].transpose())","np.einsum('ij,jm->im',delta, activations[-2].transpose())",np.dot,np.einsum
digit-recognizer,D://crw_data//np.argmax\source110,115,"np.dot(delta, activations[-l - 1].transpose())","np.einsum('ij,jm->im',delta, activations[-l - 1].transpose())",np.dot,np.einsum
digit-recognizer,D://crw_data//np.argmax\source110,96,"np.dot(w, activation)","np.einsum('ij,jm->im',w, activation)",np.dot,np.einsum
house-prices-advanced-regression-techniques,D://crw_data//np.array\source422,28,"np.dot(trainX_.transpose(), trainX_)","np.einsum('ij,jm->im',trainX_.transpose(), trainX_)",np.dot,np.einsum
pubg-finish-placement-prediction,D://crw_data//np.dot\source17,219,"np.dot((np.dot(x, w) - y).T, np.dot(x, w) - y)","np.einsum('ij,jm->im',(np.dot(x, w) - y).T, np.dot(x, w) - y)",np.dot,np.einsum
pubg-finish-placement-prediction,D://crw_data//np.dot\source17,159,"np.dot(train_array, new_eig_vec)","np.einsum('ij,jm->im',train_array, new_eig_vec)",np.dot,np.einsum
titanic,D://crw_data//np.concatenate\source113,178,"np.dot(theta_1, a_1)","np.einsum('ij,jm->im',theta_1, a_1)",np.dot,np.einsum
titanic,D://crw_data//df.astype\source3,123,"np.dot((h - y).T, X)","np.einsum('ij,jm->im',(h - y).T, X)",np.dot,np.einsum
titanic,D://crw_data//np.concatenate\source113,119,"np.dot(t0, x.T)","np.einsum('ij,jm->im',t0, x.T)",np.dot,np.einsum
titanic,D://crw_data//df.astype\source3,93,"np.dot(X, theta)","np.einsum('ij,jm->im',X, theta)",np.dot,np.einsum
titanic,D://crw_data//np.concatenate\source113,176,"np.dot(theta_0, a_0)","np.einsum('ij,jm->im',theta_0, a_0)",np.dot,np.einsum
allstate-claims-severity,D://crw_data//np.hstack\source53,25,"np.hstack((catData.T, df[cols[117:nFeat - 1]].as_matrix()))","np.append(catData.T, df[cols[117:nFeat - 1]].as_matrix(), axis=1)",np.hstack,np.append
allstate-claims-severity,D://crw_data//np.hstack\source53,25,"np.hstack((catData.T, df[cols[117:nFeat - 1]].as_matrix()))","np.concatenate((catData.T, df[cols[117:nFeat - 1]].as_matrix()), axis=1)",np.hstack,np.concatenate
crowdflower-search-relevance,D://crw_data//np.dot\source9,47,"np.hstack([Z_test, X_pt_q_test])","np.concatenate([Z_test, X_pt_q_test], axis=1)",np.hstack,np.concatenate
crowdflower-search-relevance,D://crw_data//np.dot\source9,45,"np.hstack([Z_train, X_pt_q_train])","np.concatenate([Z_train, X_pt_q_train], axis=1)",np.hstack,np.concatenate
crowdflower-search-relevance,D://crw_data//np.dot\source9,47,"np.hstack([Z_test, X_pt_q_test])","np.append(Z_test, X_pt_q_test, axis=1)",np.hstack,np.append
crowdflower-search-relevance,D://crw_data//np.dot\source9,45,"np.hstack([Z_train, X_pt_q_train])","np.append(Z_train, X_pt_q_train, axis=1)",np.hstack,np.append
digit-recognizer,D://crw_data//np.argmax\source29,69,np.hstack(vecs),"np.append(sub_ids, df['click_id'].values, axis=1)",np.hstack,np.append
digit-recognizer,D://crw_data//np.argmax\source29,225,"np.hstack((np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:]))","np.concatenate((np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:]), axis=1)",np.hstack,np.concatenate
digit-recognizer,D://crw_data//np.argmax\source29,69,np.hstack(vecs),"np.concatenate(vecs, axis=1)",np.hstack,np.concatenate
digit-recognizer,D://crw_data//np.argmax\source29,217,"np.hstack((np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:]))","np.concatenate((np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:]), axis=1)",np.hstack,np.concatenate
digit-recognizer,D://crw_data//np.argmax\source29,225,"np.hstack((np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:]))","np.append(np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:], axis=1)",np.hstack,np.append
digit-recognizer,D://crw_data//np.argmax\source29,217,"np.hstack((np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:]))","np.append(np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:], axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source259,55,"np.hstack((testCatVecX, testNumX))","np.append(testCatVecX, testNumX, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source259,43,"np.hstack((trainCatVecX, trainNumX))","np.append(trainCatVecX, trainNumX, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source1083,65,"np.hstack((testCatVecX, testNumX))","np.concatenate((testCatVecX, testNumX), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.hstack\source48,47,"np.hstack((x_num_test, vec_x_cat_test))","np.append(x_num_test, vec_x_cat_test, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source570,44,"np.hstack((x_num_data, vec_x_cat_data))","np.append(x_num_data, vec_x_cat_data, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.hstack\source48,47,"np.hstack((x_num_test, vec_x_cat_test))","np.concatenate((x_num_test, vec_x_cat_test), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.hstack\source51,44,"np.hstack((x_num_data, vec_x_cat_data))","np.append(x_num_data, vec_x_cat_data, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.hstack\source51,47,"np.hstack((x_num_test, vec_x_cat_test))","np.append(x_num_test, vec_x_cat_test, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source1182,44,"np.hstack((x_num_data, vec_x_cat_data))","np.append(x_num_data, vec_x_cat_data, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source564,44,"np.hstack((x_num_data, vec_x_cat_data))","np.append(x_num_data, vec_x_cat_data, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source1182,47,"np.hstack((x_num_test, vec_x_cat_test))","np.concatenate((x_num_test, vec_x_cat_test), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source570,47,"np.hstack((x_num_test, vec_x_cat_test))","np.append(x_num_test, vec_x_cat_test, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.hstack\source51,47,"np.hstack((x_num_test, vec_x_cat_test))","np.concatenate((x_num_test, vec_x_cat_test), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.arange\source248,171,"np.hstack((testCatVecX, testNumX))","np.concatenate((testCatVecX, testNumX), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source569,93,"np.hstack((x_num_data, vec_x_cat_data))","np.append(x_num_data, vec_x_cat_data, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source564,44,"np.hstack((x_num_data, vec_x_cat_data))","np.concatenate((x_num_data, vec_x_cat_data), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source259,55,"np.hstack((testCatVecX, testNumX))","np.concatenate((testCatVecX, testNumX), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source569,93,"np.hstack((x_num_data, vec_x_cat_data))","np.concatenate((x_num_data, vec_x_cat_data), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source259,43,"np.hstack((trainCatVecX, trainNumX))","np.concatenate((trainCatVecX, trainNumX), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source1182,44,"np.hstack((x_num_data, vec_x_cat_data))","np.concatenate((x_num_data, vec_x_cat_data), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source570,47,"np.hstack((x_num_test, vec_x_cat_test))","np.concatenate((x_num_test, vec_x_cat_test), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.arange\source248,171,"np.hstack((testCatVecX, testNumX))","np.append(testCatVecX, testNumX, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source1083,53,"np.hstack((trainCatVecX, trainNumX))","np.append(trainCatVecX, trainNumX, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.hstack\source48,44,"np.hstack((x_num_data, vec_x_cat_data))","np.concatenate((x_num_data, vec_x_cat_data), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source569,99,"np.hstack((x_num_test, vec_x_cat_test))","np.concatenate((x_num_test, vec_x_cat_test), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source570,44,"np.hstack((x_num_data, vec_x_cat_data))","np.concatenate((x_num_data, vec_x_cat_data), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.arange\source248,163,"np.hstack((trainCatVecX, trainNumX))","np.concatenate((trainCatVecX, trainNumX), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source564,47,"np.hstack((x_num_test, vec_x_cat_test))","np.concatenate((x_num_test, vec_x_cat_test), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source564,47,"np.hstack((x_num_test, vec_x_cat_test))","np.append(x_num_test, vec_x_cat_test, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.arange\source248,163,"np.hstack((trainCatVecX, trainNumX))","np.append(trainCatVecX, trainNumX, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.hstack\source51,44,"np.hstack((x_num_data, vec_x_cat_data))","np.concatenate((x_num_data, vec_x_cat_data), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.hstack\source48,44,"np.hstack((x_num_data, vec_x_cat_data))","np.append(x_num_data, vec_x_cat_data, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source1083,53,"np.hstack((trainCatVecX, trainNumX))","np.concatenate((trainCatVecX, trainNumX), axis=1)",np.hstack,np.concatenate
liberty-mutual-group-property-inspection-prediction,D://crw_data//np.array\source1083,65,"np.hstack((testCatVecX, testNumX))","np.append(testCatVecX, testNumX, axis=1)",np.hstack,np.append
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source21,71,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.concatenate((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source2,37,"np.hstack((self.estimator.predict_proba(X), X))","np.append(self.estimator.predict_proba(X), X, axis=1)",np.hstack,np.append
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source2,40,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.append(np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed, axis=1)",np.hstack,np.append
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source16,35,"np.hstack((self.estimator.predict_proba(X), X))","np.concatenate((self.estimator.predict_proba(X), X), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source61,79,"np.hstack((self.estimator.predict_proba(X), X))","np.append(self.estimator.predict_proba(X), X, axis=1)",np.hstack,np.append
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source80,73,"np.hstack((self.estimator.predict_proba(X), X))","np.concatenate((self.estimator.predict_proba(X), X), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source43,40,"np.hstack((self.estimator.predict_proba(X), X))","np.concatenate((self.estimator.predict_proba(X), X), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source61,85,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.append(np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed, axis=1)",np.hstack,np.append
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source2,37,"np.hstack((self.estimator.predict_proba(X), X))","np.concatenate((self.estimator.predict_proba(X), X), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source21,65,"np.hstack((self.estimator.predict_proba(X), X))","np.append(self.estimator.predict_proba(X), X, axis=1)",np.hstack,np.append
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source80,79,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.concatenate((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source21,71,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.append(np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed, axis=1)",np.hstack,np.append
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source80,79,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.append(np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed, axis=1)",np.hstack,np.append
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source80,73,"np.hstack((self.estimator.predict_proba(X), X))","np.append(self.estimator.predict_proba(X), X, axis=1)",np.hstack,np.append
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source61,79,"np.hstack((self.estimator.predict_proba(X), X))","np.concatenate((self.estimator.predict_proba(X), X), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source43,43,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.concatenate((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source61,85,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.concatenate((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source21,65,"np.hstack((self.estimator.predict_proba(X), X))","np.concatenate((self.estimator.predict_proba(X), X), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source2,40,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.concatenate((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed), axis=1)",np.hstack,np.concatenate
mercedes-benz-greener-manufacturing,D://crw_data//np.hstack\source16,38,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.concatenate((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed), axis=1)",np.hstack,np.concatenate
santander-product-recommendation,D://crw_data//df.fillna\source56,40,"np.hstack([test_X, temp_test_X])","np.concatenate([test_X, temp_test_X], axis=1)",np.hstack,np.concatenate
santander-product-recommendation,D://crw_data//df.fillna\source73,66,"np.hstack([test_X, temp_test_X])","np.append(test_X, temp_test_X, axis=1)",np.hstack,np.append
santander-product-recommendation,D://crw_data//df.fillna\source75,43,"np.hstack([test_X, temp_test_X])","np.append(test_X, temp_test_X, axis=1)",np.hstack,np.append
santander-product-recommendation,D://crw_data//df.fillna\source75,42,"np.hstack([train_X, temp_train_X])","np.concatenate([train_X, temp_train_X], axis=1)",np.hstack,np.concatenate
santander-product-recommendation,D://crw_data//df.fillna\source56,40,"np.hstack([test_X, temp_test_X])","np.append(test_X, temp_test_X, axis=1)",np.hstack,np.append
santander-product-recommendation,D://crw_data//df.fillna\source75,42,"np.hstack([train_X, temp_train_X])","np.append(train_X, temp_train_X, axis=1)",np.hstack,np.append
santander-product-recommendation,D://crw_data//df.fillna\source73,65,"np.hstack([train_X, temp_train_X])","np.append(train_X, temp_train_X, axis=1)",np.hstack,np.append
