1,allstate-claims-severity,D:\crw_data\pd.concat\source964,"train_test.loc[(train_test.flag == -1), :]","train_test.ix[(train_test.flag == -1), :]",pd.DataFrame.loc,pd.DataFrame.ix,
1,allstate-claims-severity,D:\crw_data\np.array\source783,np.array(answer),np.concatenate([answer]),np.array,np.concatenate,
1,allstate-claims-severity,D:\crw_data\df.iloc\source57,"test_df.loc[:, ('loss')]","test_df.ix[:, ('loss')]",pd.DataFrame.loc,pd.DataFrame.ix,
1,allstate-claims-severity,D:\crw_data\pd.read_csv\source1047,"train.ix[:, 'cat1':'cat116']","train.loc[:, 'cat1':'cat116']",pd.DataFrame.ix,pd.DataFrame.loc,
1,bnp-paribas-cardif-claims-management,D:\crw_data\np.unique\source60,df[columnName].map(lambda y: 1 if y == x else 0),"np.where( df[columnName] == x , 1 ,0)",pd.Series.map,np.where,
1,bnp-paribas-cardif-claims-management,D:\crw_data\np.unique\source20,df[columnName].map(lambda y: 1 if y == x else 0),"np.where( df[columnName] == x , 1 ,0)",pd.Series.map,np.where,
1,bnp-paribas-cardif-claims-management,D:\crw_data\pd.concat\source991,"train.loc[train[c].round(5) == 0, c]","train.ix[train[c].round(5) == 0, c]",pd.DataFrame.loc,pd.DataFrame.ix,
1,bnp-paribas-cardif-claims-management,D:\crw_data\pd.read_csv\source3628,"train.loc[train_series.isnull(), train_name]","train.ix[train_series.isnull(), train_name]",pd.DataFrame.loc,pd.DataFrame.ix,
1,bnp-paribas-cardif-claims-management,D:\crw_data\pd.read_csv\source3387,"train.loc[~train[c].isin(cboth), c]","train.ix[~train[c].isin(cboth), c]",pd.DataFrame.loc,pd.DataFrame.ix,
1,bnp-paribas-cardif-claims-management,D:\crw_data\np.arange\source345,"all_data.loc[all_data[key] != na, key]","all_data.ix[all_data[key] != na, key]",pd.DataFrame.loc,pd.DataFrame.ix,
1,bnp-paribas-cardif-claims-management,D:\crw_data\np.arange\source345,"np.full(len(train_bag), 0, dtype=np.float32)","np.zeros(len(train_bag), dtype=np.float32)",np.full,np.zeros,
1,bnp-paribas-cardif-claims-management,D:\crw_data\pd.read_csv\source3617,"train.loc[~train[col].isin(test[col]), col]","train.ix[~train[col].isin(test[col]), col]",pd.DataFrame.loc,pd.DataFrame.ix,
1,bnp-paribas-cardif-claims-management,D:\crw_data\pd.read_csv\source2440,"train.loc[train_type.isnull(), train_col]","train.ix[train_type.isnull(), train_col]",pd.DataFrame.loc,pd.DataFrame.ix,
1,bosch-production-line-performance,D:\crw_data\np.argsort\source164,np.ones(X_outliers.shape[0]),np.empty(X_outliers.shape[0]); r2.fill(1),np.ones,np.empty,
1,bosch-production-line-performance,D:\crw_data\np.where\source91,np.where(clf.feature_importances_ > 0),np.nonzero(clf.feature_importances_ > 0),np.where,np.nonzero,
1,bosch-production-line-performance,D:\crw_data\pd.concat\source970,"train.loc[train.Id.isin(tr.Id), 'StartTime']","train.ix[train.Id.isin(tr.Id), 'StartTime']",pd.DataFrame.loc,pd.DataFrame.ix,
1,bosch-production-line-performance,D:\crw_data\np.argsort\source108,"blindtraindata.loc[:, (col)]","blindtraindata.ix[:, (col)]",pd.DataFrame.loc,pd.DataFrame.ix,
1,carvana-image-masking-challenge,D:\crw_data\np.concatenate\source7,np.where(pixels[1:] != pixels[:-1]),np.nonzero(pixels[1:] != pixels[:-1]),np.where,np.nonzero,
1,carvana-image-masking-challenge,D:\crw_data\np.array\source1027,"np.array(train_masks, dtype=np.uint8)","np.fromiter(train_masks, dtype=np.uint8)",np.array,np.fromiter,
1,caterpillar-tube-pricing,D:\crw_data\df.apply\source25,np.array(train_values),np.concatenate([train_values]),np.array,np.concatenate,
1,caterpillar-tube-pricing,D:\crw_data\np.arange\source33,np.sum((np.log1p(tr_preds) - np.log1p(tr_test_y)) ** 2),((np.log1p(tr_preds) - np.log1p(tr_test_y)) ** 2).sum(),np.sum,np.ndarray.sum,
1,caterpillar-tube-pricing,D:\crw_data\np.where\source103,np.where(predicted < 0),np.nonzero(predicted < 0),np.where,np.nonzero,
1,costa-rican-household-poverty-prediction,D:\crw_data\df.loc\source88,df_train['Target'].replace(mapping),df_train['Target'].map(mapping),pd.Series.replace,pd.Series.map,
1,costa-rican-household-poverty-prediction,D:\crw_data\df.iloc\source31,np.zeros([len_train]),np.empty([len_train]); r2[:]= 0,np.zeros,np.empty,
1,coupon-purchase-prediction,D:\crw_data\df.apply\source66,"np.dot(user_profiles, W)","np.einsum('ij,jm->im',user_profiles, W)",np.dot,np.einsum,
1,crowdflower-search-relevance,D:\crw_data\np.dot\source9,"np.hstack([Z_train, X_pt_q_train])","np.append(Z_train, X_pt_q_train, axis=1)",np.hstack,np.append,
1,crowdflower-search-relevance,D:\crw_data\np.dot\source9,"np.hstack([Z_test, X_pt_q_test])","np.append(Z_test, X_pt_q_test, axis=1)",np.hstack,np.append,
1,crowdflower-search-relevance,D:\crw_data\np.dot\source9,"np.hstack([Z_train, X_pt_q_train])","np.concatenate([Z_train, X_pt_q_train], axis=1)",np.hstack,np.concatenate,
1,crowdflower-search-relevance,D:\crw_data\np.dot\source9,"np.hstack([Z_test, X_pt_q_test])","np.concatenate([Z_test, X_pt_q_test], axis=1)",np.hstack,np.concatenate,
1,crowdflower-search-relevance,D:\crw_data\np.array\source1007,np.where(queries[10158:] == q),np.nonzero(queries[10158:] == q),np.where,np.nonzero,
1,crowdflower-search-relevance,D:\crw_data\np.array\source1095,"np.array(rater_a, dtype=int)","np.fromiter(rater_a, dtype=int)",np.array,np.fromiter,
1,crowdflower-search-relevance,D:\crw_data\np.array\source1007,np.where(queries[:10158] == q),np.nonzero(queries[:10158] == q),np.where,np.nonzero,
1,digit-recognizer,D:\crw_data\df.astype\source2,np.array(train_raw['label']),np.concatenate([train_raw['label']]),np.array,np.concatenate,
1,digit-recognizer,D:\crw_data\df.astype\source2,"np.sum(t, axis=0)",(t).sum( axis=0),np.sum,np.ndarray.sum,
1,digit-recognizer,D:\crw_data\df.astype\source2,np.sum(logprobs),(logprobs).sum(),np.sum,np.ndarray.sum,
1,digit-recognizer,D:\crw_data\pd.read_csv\source1739,"train.ix[:, 1:]","train.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source1739,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source2543,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\np.arange\source219,"np.c_[xx.ravel(), yy.ravel()]","np.hstack([xx.ravel().reshape(len(xx.ravel()),1), yy.ravel().reshape(len(xx.ravel()),1)])",np.c_,np.hstack,
1,digit-recognizer,D:\crw_data\pd.read_csv\source2645,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\np.sum\source74,"binary_image.loc[:, (isValid)]","binary_image.ix[:, (isValid)]",pd.DataFrame.loc,pd.DataFrame.ix,
1,digit-recognizer,D:\crw_data\np.sum\source75,"X.loc[:, (isValid)]","X.ix[:, (isValid)]",pd.DataFrame.loc,pd.DataFrame.ix,
1,digit-recognizer,D:\crw_data\pd.read_csv\source3677,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source3194,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\np.argmax\source29,"np.hstack((np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:]))","np.append(np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:], axis=1)",np.hstack,np.append,
1,digit-recognizer,D:\crw_data\np.argmax\source29,"np.hstack((np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:]))","np.append(np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:], axis=1)",np.hstack,np.append,
1,digit-recognizer,D:\crw_data\np.argmax\source29,"np.hstack((np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:]))","np.concatenate((np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:]), axis=1)",np.hstack,np.concatenate,
1,digit-recognizer,D:\crw_data\np.argmax\source29,"np.hstack((np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:]))","np.concatenate((np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:]), axis=1)",np.hstack,np.concatenate,
1,digit-recognizer,D:\crw_data\np.argmax\source29,Theta1.dot(Xt),"np.tensordot(Theta1,Xt,axes=1)",np.ndarray.dot,np.tensordot,
1,digit-recognizer,D:\crw_data\np.argmax\source29,Delta3.dot(A2.T),"np.tensordot(Delta3,A2.T,axes=1)",np.ndarray.dot,np.tensordot,
1,digit-recognizer,D:\crw_data\np.argmax\source29,Delta2.dot(Xt.T),"np.tensordot(Delta2,Xt.T,axes=1)",np.ndarray.dot,np.tensordot,
1,digit-recognizer,D:\crw_data\np.argmax\source29,np.ones(m),np.empty(m); r2.fill(1),np.ones,np.empty,
1,digit-recognizer,D:\crw_data\np.argmax\source29,"np.vstack((a_0, X.T))","np.column_stack((a_0.T, X.T.T)).T",np.vstack,np.column_stack,
1,digit-recognizer,D:\crw_data\pd.read_csv\source2064,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source2168,"train.ix[:, 1:]","train.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source2168,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\np.arange\source129,theta2.dot(a2),"np.tensordot(theta2,a2,axes=1)",np.ndarray.dot,np.tensordot,
1,digit-recognizer,D:\crw_data\np.arange\source129,theta1.dot(a1.T),"np.tensordot(theta1,a1.T,axes=1)",np.ndarray.dot,np.tensordot,
1,digit-recognizer,D:\crw_data\np.arange\source129,s2.dot(a1),"np.tensordot(s2,a1,axes=1)",np.ndarray.dot,np.tensordot,
1,digit-recognizer,D:\crw_data\np.arange\source129,"np.ones((np.size(y), nlabels))","np.empty((np.size(y), nlabels)); r2.fill(1)",np.ones,np.empty,
1,digit-recognizer,D:\crw_data\pd.read_csv\source4134,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\np.array\source671,np.array(train),np.concatenate([train]),np.array,np.concatenate,
1,digit-recognizer,D:\crw_data\np.argmax\source93,"train_x.ix[:, (0)]","train_x.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\np.argsort\source78,np.nonzero([(i == y) for i in y_train]),np.where([(i == y) for i in y_train]),np.nonzero,np.where,
1,digit-recognizer,D:\crw_data\np.argmax\source110,"np.dot(w, activation)","np.einsum('ij,jm->im',w, activation)",np.dot,np.einsum,
1,digit-recognizer,D:\crw_data\np.append\source28,"train.ix[:, 'label':'label']","train.loc[:, 'label':'label']",pd.DataFrame.ix,pd.DataFrame.loc,
1,digit-recognizer,D:\crw_data\np.array\source560,"data_file.ix[:, 1:]","data_file.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source2146,"train.ix[:, 1:]","train.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source663,"train.loc[:, 'pixel0':]","train.ix[:, 'pixel0':]",pd.DataFrame.loc,pd.DataFrame.ix,
1,digit-recognizer,D:\crw_data\pd.read_csv\source663,"test.loc[:, 'pixel0':]","test.ix[:, 'pixel0':]",pd.DataFrame.loc,pd.DataFrame.ix,
1,digit-recognizer,D:\crw_data\pd.read_csv\source3655,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\df.iloc\source39,"verify_df.loc[row, 'label']","verify_df.at[row, 'label']",pd.DataFrame.loc,pd.DataFrame.at,
1,digit-recognizer,D:\crw_data\df.iloc\source39,"verify_df.loc[row, 'label']","verify_df.at[row, 'label']",pd.DataFrame.loc,pd.DataFrame.at,
1,digit-recognizer,D:\crw_data\df.iloc\source39,"verify_df.loc[row, 'label']","verify_df.at[row, 'label']",pd.DataFrame.loc,pd.DataFrame.at,
1,digit-recognizer,D:\crw_data\df.iloc\source39,"verify_df.loc[row, 'label']","verify_df.at[row, 'label']",pd.DataFrame.loc,pd.DataFrame.at,
1,digit-recognizer,D:\crw_data\pd.read_csv\source680,"train.ix[:, 1:]","train.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source680,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source680,"test.ix[:, :]","test.loc[:, :]",pd.DataFrame.ix,pd.DataFrame.loc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source2147,"train_data.ix[:, 1:]","train_data.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc,
1,digit-recognizer,D:\crw_data\pd.read_csv\source1448,X.loc[:size],X.ix[:size],pd.DataFrame.loc,pd.DataFrame.ix,
1,digit-recognizer,D:\crw_data\pd.read_csv\source1448,y.loc[:size],y.ix[:size],pd.DataFrame.loc,pd.DataFrame.ix,
1,digit-recognizer,D:\crw_data\df.astype\source2,np.sum((y_hat == y_star) * y_star * 1),np.count_nonzero((y_hat == y_star) * y_star * 1),np.sum,np.count_nonzero,
1,digit-recognizer,D:\crw_data\df.astype\source2,"np.sum(t, axis=0)","np.einsum('ij->j',t)",np.sum,np.einsum,
1,digit-recognizer,D:\crw_data\np.arange\source157,np.where(pred_valid != y_weight),np.nonzero(pred_valid != y_weight),np.where,np.nonzero,
1,digit-recognizer,D:\crw_data\np.transpose\source20,np.transpose(train.as_matrix()),np.column_stack(train.as_matrix()),np.transpose,np.column_stack,
1,digit-recognizer,D:\crw_data\np.argmax\source29,Theta2.dot(A2),"np.tensordot(Theta2,A2,axes=1)",np.ndarray.dot,np.tensordot,
1,digit-recognizer,D:\crw_data\np.zeros\source319,"data.loc[:, 'pixel0':'pixel783']","data.ix[:, 'pixel0':'pixel783']",pd.DataFrame.loc,pd.DataFrame.ix,
1,digit-recognizer,D:\crw_data\np.zeros\source319,numpy.where(mask),numpy.nonzero(mask),np.where,np.nonzero,
1,digit-recognizer,D:\crw_data\np.arange\source129,theta2.T.dot(s3),"np.tensordot(theta2.T,s3,axes=1)",np.ndarray.dot,np.tensordot,
1,digit-recognizer,D:\crw_data\np.array\source1039,"np.array(row[1:], dtype=np.uint8)","np.fromiter(row[1:], dtype=np.uint8)",np.array,np.fromiter,
1,digit-recognizer,D:\crw_data\np.argmax\source93,np.transpose(train_x),np.column_stack(train_x),np.transpose,np.column_stack,
1,digit-recognizer,D:\crw_data\np.argmax\source110,"np.dot(delta, activations[-2].transpose())","np.einsum('ij,jm->im',delta, activations[-2].transpose())",np.dot,np.einsum,
1,digit-recognizer,D:\crw_data\pd.read_csv\source663,"train.loc[:, ('label')]","train.ix[:, ('label')]",pd.DataFrame.loc,pd.DataFrame.ix,
1,digit-recognizer,D:\crw_data\df.iloc\source39,"train_df.loc[(train_df['label'] == digit), :]","train_df.ix[(train_df['label'] == digit), :]",pd.DataFrame.loc,pd.DataFrame.ix,
1,digit-recognizer,D:\crw_data\pd.read_csv\source1448,X.loc[size:size * 2],X.ix[size:size * 2],pd.DataFrame.loc,pd.DataFrame.ix,
1,expedia-hotel-recommendations,D:\crw_data\df.ix\source4,"df.ix[:, ('srch_adults_cnt')]","df.loc[:, ('srch_adults_cnt')]",pd.DataFrame.ix,pd.DataFrame.loc,
1,expedia-hotel-recommendations,D:\crw_data\df.ix\source4,"df.ix[:, ('srch_destination_id')]","df.loc[:, ('srch_destination_id')]",pd.DataFrame.ix,pd.DataFrame.loc,
1,expedia-hotel-recommendations,D:\crw_data\df.ix\source4,"df.ix[:, ('srch_ci')]","df.loc[:, ('srch_ci')]",pd.DataFrame.ix,pd.DataFrame.loc,
1,expedia-hotel-recommendations,D:\crw_data\df.ix\source4,"df.ix[:, ('srch_co')]","df.loc[:, ('srch_co')]",pd.DataFrame.ix,pd.DataFrame.loc,
1,expedia-hotel-recommendations,D:\crw_data\np.arange\source136,df_train[column].astype(str),df_train[column].apply(str),pd.Series.astype,pd.Series.apply,
1,expedia-hotel-recommendations,D:\crw_data\df.ix\source4,"np.vstack((x0, x1, x2, x3))","np.column_stack((x0.T, x1.T, x2.T, x3.T)).T",np.vstack,np.column_stack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source268,np.vstack(preds_list),"np.concatenate(preds_list, axis=0)",np.vstack,np.concatenate,
1,facebook-v-predicting-check-ins,D:\crw_data\np.append\source31,counts.iloc[0],counts.iat[0],pd.Series.iloc,pd.Series.iat,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source224,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source106,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source265,np.vstack(preds_list),"np.concatenate(preds_list, axis=0)",np.vstack,np.concatenate,
1,facebook-v-predicting-check-ins,D:\crw_data\np.arange\source339,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero,
1,facebook-v-predicting-check-ins,D:\crw_data\np.arange\source339,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero,
1,facebook-v-predicting-check-ins,D:\crw_data\np.arange\source339,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero,
1,facebook-v-predicting-check-ins,D:\crw_data\np.arange\source339,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source266,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source82,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source181,np.vstack(preds_list),"np.concatenate(preds_list, axis=0)",np.vstack,np.concatenate,
1,facebook-v-predicting-check-ins,D:\crw_data\np.append\source31,counts.iloc[n],counts.iat[n],pd.Series.iloc,pd.Series.iat,
1,facebook-v-predicting-check-ins,D:\crw_data\np.append\source31,counts.iloc[n + 1],counts.iat[n + 1],pd.Series.iloc,pd.Series.iat,
1,facebook-v-predicting-check-ins,D:\crw_data\np.arange\source339,t.iloc[br],t.iat[br],pd.Series.iloc,pd.Series.iat,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source268,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source83,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source264,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source265,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\np.arange\source339,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero,
1,facebook-v-predicting-check-ins,D:\crw_data\np.argsort\source113,"np.vstack((grid1, grid2, grid3, grid4))","np.column_stack((grid1.T, grid2.T, grid3.T, grid4.T)).T",np.vstack,np.column_stack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source242,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\pd.read_csv\source2372,"test.loc[:99, ('row_id')]","test.ix[:99, ('row_id')]",pd.DataFrame.loc,pd.DataFrame.ix,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source267,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source269,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack,
1,facebook-v-predicting-check-ins,D:\crw_data\df.loc\source269,np.vstack(preds_list),"np.concatenate(preds_list, axis=0)",np.vstack,np.concatenate,
1,favorita-grocery-sales-forecasting,D:\crw_data\df.fillna\source61,"data['hol']['transferred'].map({'False': 0, 'True': 1})","pd.DataFrame(data['hol']['transferred']).replace({'False': 0, 'True': 1})",pd.Series.map,pd.DataFrame.replace,
1,flavours-of-physics,D:\crw_data\df.iloc\source23,"df.loc[:, (['DOCAone', 'DOCAtwo', 'DOCAthree'])]","df.ix[:, (['DOCAone', 'DOCAtwo', 'DOCAthree'])]",pd.DataFrame.loc,pd.DataFrame.ix,
1,flavours-of-physics,D:\crw_data\df.iloc\source23,"df.loc[:, (['p0_IsoBDT', 'p1_IsoBDT', 'p2_IsoBDT'])]","df.ix[:, (['p0_IsoBDT', 'p1_IsoBDT', 'p2_IsoBDT'])]",pd.DataFrame.loc,pd.DataFrame.ix,
1,ghouls-goblins-and-ghosts-boo,D:\crw_data\pd.concat\source1104,"train[target].replace({'Goblin': 1.15, 'Ghost': 1.0, 'Ghoul': 1.0})","train[target].map({'Goblin': 1.15, 'Ghost': 1.0, 'Ghoul': 1.0})",pd.Series.replace,pd.Series.map,
1,grupo-bimbo-inventory-demand,D:\crw_data\np.sum\source260,"train.loc[(train['Demanda_uni_equil'] < 51), :]","train.ix[(train['Demanda_uni_equil'] < 51), :]",pd.DataFrame.loc,pd.DataFrame.ix,
1,grupo-bimbo-inventory-demand,D:\crw_data\df.apply\source57,"df_Train.loc[:, (['Cliente_ID', 'Demanda_uni_equil'])]","df_Train.ix[:, (['Cliente_ID', 'Demanda_uni_equil'])]",pd.DataFrame.loc,pd.DataFrame.ix,
1,grupo-bimbo-inventory-demand,D:\crw_data\np.c_\source17,np.ones(df_test.shape[0]),np.empty(df_test.shape[0]); r2.fill(1),np.ones,np.empty,
1,grupo-bimbo-inventory-demand,D:\crw_data\df.apply\source56,"df_tmp.loc[:, ('tipp')]","df_tmp.ix[:, ('tipp')]",pd.DataFrame.loc,pd.DataFrame.ix,
1,grupo-bimbo-inventory-demand,D:\crw_data\df.apply\source57,"df.loc[:, ('Demanda_uni_equil')]","df.ix[:, ('Demanda_uni_equil')]",pd.DataFrame.loc,pd.DataFrame.ix,
1,home-credit-default-risk,D:\crw_data\pd.read_csv\source1289,"data1.loc[:, (['SK_ID_CURR'])]","data1.ix[:, (['SK_ID_CURR'])]",pd.DataFrame.loc,pd.DataFrame.ix,
1,home-credit-default-risk,D:\crw_data\np.zeros\source183,"alldata.loc[(alldata.is_test), :]","alldata.ix[(alldata.is_test), :]",pd.DataFrame.loc,pd.DataFrame.ix,
1,home-credit-default-risk,D:\crw_data\df.loc\source217,"alldata.loc[:, (col)]","alldata.ix[:, (col)]",pd.DataFrame.loc,pd.DataFrame.ix,
1,home-credit-default-risk,D:\crw_data\df.loc\source195,"credit_card_df.loc[most_recent_index, cat_feats]","credit_card_df.ix[most_recent_index, cat_feats]",pd.DataFrame.loc,pd.DataFrame.ix,
1,home-credit-default-risk,D:\crw_data\df.loc\source195,"bureau_balance_df.loc[(most_recent_index), :]","bureau_balance_df.ix[(most_recent_index), :]",pd.DataFrame.loc,pd.DataFrame.ix,
1,home-credit-default-risk,D:\crw_data\df.loc\source195,"pos_cash_df.loc[most_recent_index, cat_feats]","pos_cash_df.ix[most_recent_index, cat_feats]",pd.DataFrame.loc,pd.DataFrame.ix,
1,home-credit-default-risk,D:\crw_data\pd.read_csv\source1289,"data.loc[:, (['SK_ID_PREV', 'SK_ID_CURR'])]","data.ix[:, (['SK_ID_PREV', 'SK_ID_CURR'])]",pd.DataFrame.loc,pd.DataFrame.ix,
1,home-credit-default-risk,D:\crw_data\np.zeros\source183,"test.loc[:, ('is_test')]","test.ix[:, ('is_test')]",pd.DataFrame.loc,pd.DataFrame.ix,
1,home-credit-default-risk,D:\crw_data\pd.concat\source1011,"app_train.loc[app_train['TARGET'] == 0, 'DAYS_BIRTH']","app_train.ix[app_train['TARGET'] == 0, 'DAYS_BIRTH']",pd.DataFrame.loc,pd.DataFrame.ix,
1,homesite-quote-conversion,D:\crw_data\pd.read_csv\source3644,train.ix[train_sample],train.loc[train_sample],pd.DataFrame.ix,pd.DataFrame.loc,
1,homesite-quote-conversion,D:\crw_data\pd.read_csv\source3644,"train.ix[:, 0:299]","train.iloc[:, 0:299]",pd.DataFrame.ix,pd.DataFrame.iloc,
