1,airbnb-recruiting-new-user-bookings,https://www.kaggle.com/etherqua/airbnbdemo,df_all.date_account_created.astype(str),df_all.date_account_created.apply(str),pd.Series.astype,pd.Series.apply
0,crowdflower-search-relevance,https://www.kaggle.com/dlyzer/k-nearest-neighbors,"np.hstack([Z_train, X_pt_q_train])","np.append(Z_train, X_pt_q_train, axis=1)",np.hstack,np.append
0,crowdflower-search-relevance,https://www.kaggle.com/dlyzer/k-nearest-neighbors,"np.hstack([Z_test, X_pt_q_test])","np.append(Z_test, X_pt_q_test, axis=1)",np.hstack,np.append
0,crowdflower-search-relevance,https://www.kaggle.com/dlyzer/k-nearest-neighbors,"np.hstack([Z_train, X_pt_q_train])","np.concatenate([Z_train, X_pt_q_train], axis=1)",np.hstack,np.concatenate
0,crowdflower-search-relevance,https://www.kaggle.com/dlyzer/k-nearest-neighbors,"np.hstack([Z_test, X_pt_q_test])","np.concatenate([Z_test, X_pt_q_test], axis=1)",np.hstack,np.concatenate
0,crowdflower-search-relevance,https://www.kaggle.com/lancerts/combined,np.where(queries[10158:] == q),np.nonzero(queries[10158:] == q),np.where,np.nonzero
1,crowdflower-search-relevance,https://www.kaggle.com/gshguru/beating-the-benchmark-0-57,"np.array(rater_a, dtype=int)","np.fromiter(rater_a, dtype=int)",np.array,np.fromiter
1,crowdflower-search-relevance,https://www.kaggle.com/lancerts/combined,np.where(queries[:10158] == q),np.nonzero(queries[:10158] == q),np.where,np.nonzero
0,digit-recognizer,https://www.kaggle.com/aawadall/deep-neural-net,np.array(train_raw['label']),np.concatenate([train_raw['label']]),np.array,np.concatenate
0,digit-recognizer,https://www.kaggle.com/aawadall/deep-neural-net,"np.sum(t, axis=0)",(t).sum( axis=0),np.sum,np.ndarray.sum
0,digit-recognizer,https://www.kaggle.com/aawadall/deep-neural-net,np.sum(logprobs),(logprobs).sum(),np.sum,np.ndarray.sum
0,digit-recognizer,https://www.kaggle.com/ceyarzam/sssss,"train.ix[:, 1:]","train.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/ceyarzam/sssss,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/chenhagn/test-1,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/drasko/1st-python-try-1,"np.c_[xx.ravel(), yy.ravel()]","np.hstack([xx.ravel().reshape(len(xx.ravel()),1), yy.ravel().reshape(len(xx.ravel()),1)])",np.c_,np.hstack
0,digit-recognizer,https://www.kaggle.com/gravity/testing-1,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/harshitsaini/clean-character-image,"binary_image.loc[:, (isValid)]","binary_image.ix[:, (isValid)]",pd.DataFrame.loc,pd.DataFrame.ix
0,digit-recognizer,https://www.kaggle.com/harshitsaini/kmeans-kernel,"X.loc[:, (isValid)]","X.ix[:, (isValid)]",pd.DataFrame.loc,pd.DataFrame.ix
0,digit-recognizer,https://www.kaggle.com/heibankeli/pca-knn,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/heibankeli/pca-svm1,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,"np.hstack((np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:]))","np.append(np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:], axis=1)",np.hstack,np.append
0,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,"np.hstack((np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:]))","np.append(np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:], axis=1)",np.hstack,np.append
0,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,"np.hstack((np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:]))","np.concatenate((np.zeros((Theta2.shape[0], 1)), Theta2[:, 1:]), axis=1)",np.hstack,np.concatenate
0,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,"np.hstack((np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:]))","np.concatenate((np.zeros((Theta1.shape[0], 1)), Theta1[:, 1:]), axis=1)",np.hstack,np.concatenate
0,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,Theta1.dot(Xt),"np.tensordot(Theta1,Xt,axes=1)",np.ndarray.dot,np.tensordot
0,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,Delta3.dot(A2.T),"np.tensordot(Delta3,A2.T,axes=1)",np.ndarray.dot,np.tensordot
0,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,Delta2.dot(Xt.T),"np.tensordot(Delta2,Xt.T,axes=1)",np.ndarray.dot,np.tensordot
0,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,np.ones(m),np.empty(m); r2.fill(1),np.ones,np.empty
0,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,"np.vstack((a_0, X.T))","np.column_stack((a_0.T, X.T.T)).T",np.vstack,np.column_stack
0,digit-recognizer,https://www.kaggle.com/iangarland/mnist,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/isaac7/visualize-mnist,"train.ix[:, 1:]","train.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/isaac7/visualize-mnist,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/moichiaaron/numpynist-py,theta2.dot(a2),"np.tensordot(theta2,a2,axes=1)",np.ndarray.dot,np.tensordot
0,digit-recognizer,https://www.kaggle.com/moichiaaron/numpynist-py,theta1.dot(a1.T),"np.tensordot(theta1,a1.T,axes=1)",np.ndarray.dot,np.tensordot
0,digit-recognizer,https://www.kaggle.com/moichiaaron/numpynist-py,s2.dot(a1),"np.tensordot(s2,a1,axes=1)",np.ndarray.dot,np.tensordot
0,digit-recognizer,https://www.kaggle.com/moichiaaron/numpynist-py,"np.ones((np.size(y), nlabels))","np.empty((np.size(y), nlabels)); r2.fill(1)",np.ones,np.empty
0,digit-recognizer,https://www.kaggle.com/mshankarrao/svmpca-0-8-rbf,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/muthu4all/recognize-the-number,np.array(train),np.concatenate([train]),np.array,np.concatenate
0,digit-recognizer,https://www.kaggle.com/nagadomi/nearest-neighbor-search,"train_x.ix[:, (0)]","train_x.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/netguyhyun/netguytest,np.nonzero([(i == y) for i in y_train]),np.where([(i == y) for i in y_train]),np.nonzero,np.where
0,digit-recognizer,https://www.kaggle.com/newhardwarefound/artificial-neural-network,"np.dot(w, activation)","np.einsum('ij,jm->im',w, activation)",np.dot,np.einsum
0,digit-recognizer,https://www.kaggle.com/poslegm/pca-svm-97-8-accuracy,"train.ix[:, 'label':'label']","train.loc[:, 'label':'label']",pd.DataFrame.ix,pd.DataFrame.loc
0,digit-recognizer,https://www.kaggle.com/prototype96/mytest6,"data_file.ix[:, 1:]","data_file.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/seandot7/mnist-test,"train.ix[:, 1:]","train.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/tommyttf/try-to-learn,"train.loc[:, 'pixel0':]","train.ix[:, 'pixel0':]",pd.DataFrame.loc,pd.DataFrame.ix
0,digit-recognizer,https://www.kaggle.com/tommyttf/try-to-learn,"test.loc[:, 'pixel0':]","test.ix[:, 'pixel0':]",pd.DataFrame.loc,pd.DataFrame.ix
0,digit-recognizer,https://www.kaggle.com/tunguz/pca-svm1,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/willjashford/minst-willjashford,"verify_df.loc[row, 'label']","verify_df.at[row, 'label']",pd.DataFrame.loc,pd.DataFrame.at
0,digit-recognizer,https://www.kaggle.com/willjashford/minst-willjashford,"verify_df.loc[row, 'label']","verify_df.at[row, 'label']",pd.DataFrame.loc,pd.DataFrame.at
0,digit-recognizer,https://www.kaggle.com/willjashford/minst-willjashford,"verify_df.loc[row, 'label']","verify_df.at[row, 'label']",pd.DataFrame.loc,pd.DataFrame.at
0,digit-recognizer,https://www.kaggle.com/willjashford/minst-willjashford,"verify_df.loc[row, 'label']","verify_df.at[row, 'label']",pd.DataFrame.loc,pd.DataFrame.at
0,digit-recognizer,https://www.kaggle.com/wonjohnchoi/pca-svm,"train.ix[:, 1:]","train.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/wonjohnchoi/pca-svm,"train.ix[:, (0)]","train.iloc[:, (0)]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/wonjohnchoi/pca-svm,"test.ix[:, :]","test.loc[:, :]",pd.DataFrame.ix,pd.DataFrame.loc
0,digit-recognizer,https://www.kaggle.com/ybping/digits-recognizer,"train_data.ix[:, 1:]","train_data.iloc[:, 1:]",pd.DataFrame.ix,pd.DataFrame.iloc
0,digit-recognizer,https://www.kaggle.com/youngseoklee/digit-recognizer-with-machine-learning,X.loc[:size],X.ix[:size],pd.DataFrame.loc,pd.DataFrame.ix
0,digit-recognizer,https://www.kaggle.com/youngseoklee/digit-recognizer-with-machine-learning,y.loc[:size],y.ix[:size],pd.DataFrame.loc,pd.DataFrame.ix
1,digit-recognizer,https://www.kaggle.com/aawadall/deep-neural-net,np.sum((y_hat == y_star) * y_star * 1),np.count_nonzero((y_hat == y_star) * y_star * 1),np.sum,np.count_nonzero
1,digit-recognizer,https://www.kaggle.com/aawadall/deep-neural-net,"np.sum(t, axis=0)","np.einsum('ij->j',t)",np.sum,np.einsum
1,digit-recognizer,https://www.kaggle.com/bruceokallau/simple-knn-model-93-accurate,np.where(pred_valid != y_weight),np.nonzero(pred_valid != y_weight),np.where,np.nonzero
1,digit-recognizer,https://www.kaggle.com/filatenkova/digit-read,np.transpose(train.as_matrix()),np.column_stack(train.as_matrix()),np.transpose,np.column_stack
1,digit-recognizer,https://www.kaggle.com/hideki1234/neural-network,Theta2.dot(A2),"np.tensordot(Theta2,A2,axes=1)",np.ndarray.dot,np.tensordot
1,digit-recognizer,https://www.kaggle.com/jbuchner/random-forest-97-7-stroke-features-gaps-knots,"data.loc[:, 'pixel0':'pixel783']","data.ix[:, 'pixel0':'pixel783']",pd.DataFrame.loc,pd.DataFrame.ix
1,digit-recognizer,https://www.kaggle.com/jbuchner/random-forest-97-7-stroke-features-gaps-knots,numpy.where(mask),numpy.nonzero(mask),np.where,np.nonzero
1,digit-recognizer,https://www.kaggle.com/moichiaaron/numpynist-py,theta2.T.dot(s3),"np.tensordot(theta2.T,s3,axes=1)",np.ndarray.dot,np.tensordot
1,digit-recognizer,https://www.kaggle.com/mrisdal/starter-kernel-python-script-1,"np.array(row[1:], dtype=np.uint8)","np.fromiter(row[1:], dtype=np.uint8)",np.array,np.fromiter
1,digit-recognizer,https://www.kaggle.com/nagadomi/nearest-neighbor-search,np.transpose(train_x),np.column_stack(train_x),np.transpose,np.column_stack
1,digit-recognizer,https://www.kaggle.com/newhardwarefound/artificial-neural-network,"np.dot(delta, activations[-2].transpose())","np.einsum('ij,jm->im',delta, activations[-2].transpose())",np.dot,np.einsum
1,digit-recognizer,https://www.kaggle.com/tommyttf/try-to-learn,"train.loc[:, ('label')]","train.ix[:, ('label')]",pd.DataFrame.loc,pd.DataFrame.ix
1,digit-recognizer,https://www.kaggle.com/willjashford/minst-willjashford,"train_df.loc[(train_df['label'] == digit), :]","train_df.ix[(train_df['label'] == digit), :]",pd.DataFrame.loc,pd.DataFrame.ix
1,digit-recognizer,https://www.kaggle.com/youngseoklee/digit-recognizer-with-machine-learning,X.loc[size:size * 2],X.ix[size:size * 2],pd.DataFrame.loc,pd.DataFrame.ix
0,expedia-hotel-recommendations,https://www.kaggle.com/niladri18/usinng-logistic-regression,"df.ix[:, ('srch_adults_cnt')]","df.loc[:, ('srch_adults_cnt')]",pd.DataFrame.ix,pd.DataFrame.loc
0,expedia-hotel-recommendations,https://www.kaggle.com/niladri18/usinng-logistic-regression,"df.ix[:, ('srch_destination_id')]","df.loc[:, ('srch_destination_id')]",pd.DataFrame.ix,pd.DataFrame.loc
0,expedia-hotel-recommendations,https://www.kaggle.com/niladri18/usinng-logistic-regression,"df.ix[:, ('srch_ci')]","df.loc[:, ('srch_ci')]",pd.DataFrame.ix,pd.DataFrame.loc
0,expedia-hotel-recommendations,https://www.kaggle.com/niladri18/usinng-logistic-regression,"df.ix[:, ('srch_co')]","df.loc[:, ('srch_co')]",pd.DataFrame.ix,pd.DataFrame.loc
0,expedia-hotel-recommendations,https://www.kaggle.com/uj2295/xgboost-for-compset,df_train[column].astype(str),df_train[column].apply(str),pd.Series.astype,pd.Series.apply
1,expedia-hotel-recommendations,https://www.kaggle.com/niladri18/usinng-logistic-regression,"np.vstack((x0, x1, x2, x3))","np.column_stack((x0.T, x1.T, x2.T, x3.T)).T",np.vstack,np.column_stack
0,facebook-v-predicting-check-ins,https://www.kaggle.com/balajibi/facebook-solution-bi-1,np.vstack(preds_list),"np.concatenate(preds_list, axis=0)",np.vstack,np.concatenate
0,facebook-v-predicting-check-ins,https://www.kaggle.com/chrisgundling/anyone-else-try-using-svm,counts.iloc[0],counts.iat[0],pd.Series.iloc,pd.Series.iat
0,facebook-v-predicting-check-ins,https://www.kaggle.com/drarfc/knn-accelerated-v3,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
0,facebook-v-predicting-check-ins,https://www.kaggle.com/drarfc/script-competition-facebook-v-2-1,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
0,facebook-v-predicting-check-ins,https://www.kaggle.com/paullo0106/knn-accelerated-v3,np.vstack(preds_list),"np.concatenate(preds_list, axis=0)",np.vstack,np.concatenate
0,facebook-v-predicting-check-ins,https://www.kaggle.com/rakhlin/ultra-fast-grid-knn-model,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero
0,facebook-v-predicting-check-ins,https://www.kaggle.com/rakhlin/ultra-fast-grid-knn-model,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero
0,facebook-v-predicting-check-ins,https://www.kaggle.com/rakhlin/ultra-fast-grid-knn-model,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero
0,facebook-v-predicting-check-ins,https://www.kaggle.com/rakhlin/ultra-fast-grid-knn-model,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero
0,facebook-v-predicting-check-ins,https://www.kaggle.com/tunguz/script-competition-facebook-v-2-2,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
0,facebook-v-predicting-check-ins,https://www.kaggle.com/zeroblue/knn-accelerated-v3,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
0,facebook-v-predicting-check-ins,https://www.kaggle.com/zeroblue/testing-knn,np.vstack(preds_list),"np.concatenate(preds_list, axis=0)",np.vstack,np.concatenate
0,facebook-v-predicting-check-ins,https://www.kaggle.com/chrisgundling/anyone-else-try-using-svm,counts.iloc[n],counts.iat[n],pd.Series.iloc,pd.Series.iat
0,facebook-v-predicting-check-ins,https://www.kaggle.com/chrisgundling/anyone-else-try-using-svm,counts.iloc[n + 1],counts.iat[n + 1],pd.Series.iloc,pd.Series.iat
0,facebook-v-predicting-check-ins,https://www.kaggle.com/rakhlin/ultra-fast-grid-knn-model,t.iloc[br],t.iat[br],pd.Series.iloc,pd.Series.iat
1,facebook-v-predicting-check-ins,https://www.kaggle.com/balajibi/facebook-solution-bi-1,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
1,facebook-v-predicting-check-ins,https://www.kaggle.com/company/facebook-pci,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
1,facebook-v-predicting-check-ins,https://www.kaggle.com/nikolayburlutskiy/modified-grid-knn,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
1,facebook-v-predicting-check-ins,https://www.kaggle.com/paullo0106/knn-accelerated-v3,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
0,facebook-v-predicting-check-ins,https://www.kaggle.com/rakhlin/ultra-fast-grid-knn-model,np.where(d > g.th),np.nonzero(d > g.th),np.where,np.nonzero
1,facebook-v-predicting-check-ins,https://www.kaggle.com/suryavan/knn-and-probability-lookup-script,"np.vstack((grid1, grid2, grid3, grid4))","np.column_stack((grid1.T, grid2.T, grid3.T, grid4.T)).T",np.vstack,np.column_stack
1,facebook-v-predicting-check-ins,https://www.kaggle.com/valadi/mad-scripts-battle-z,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
1,facebook-v-predicting-check-ins,https://www.kaggle.com/violinbeats/knn-test-run,"test.loc[:99, ('row_id')]","test.ix[:99, ('row_id')]",pd.DataFrame.loc,pd.DataFrame.ix
1,facebook-v-predicting-check-ins,https://www.kaggle.com/zeroblue/modified-grid-knn-17-alex2,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
1,facebook-v-predicting-check-ins,https://www.kaggle.com/zeroblue/modified-grid-knn-17-z,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
1,facebook-v-predicting-check-ins,https://www.kaggle.com/zeroblue/modified-grid-knn-17-z,np.vstack(preds_list),"np.concatenate(preds_list, axis=0)",np.vstack,np.concatenate
1,favorita-grocery-sales-forecasting,https://www.kaggle.com/cbrioso/lightgbm-with-cv,"data['hol']['transferred'].map({'False': 0, 'True': 1})","pd.DataFrame(data['hol']['transferred']).replace({'False': 0, 'True': 1})",pd.Series.map,pd.DataFrame.replace
0,flavours-of-physics,https://www.kaggle.com/rakhlin/abcde,"df.loc[:, (['DOCAone', 'DOCAtwo', 'DOCAthree'])]","df.ix[:, (['DOCAone', 'DOCAtwo', 'DOCAthree'])]",pd.DataFrame.loc,pd.DataFrame.ix
0,flavours-of-physics,https://www.kaggle.com/rakhlin/abcde,"df.loc[:, (['p0_IsoBDT', 'p1_IsoBDT', 'p2_IsoBDT'])]","df.ix[:, (['p0_IsoBDT', 'p1_IsoBDT', 'p2_IsoBDT'])]",pd.DataFrame.loc,pd.DataFrame.ix
0,ghouls-goblins-and-ghosts-boo,https://www.kaggle.com/cttsai/xgb-voting-weighted-goblins,"train[target].replace({'Goblin': 1.15, 'Ghost': 1.0, 'Ghoul': 1.0})","train[target].map({'Goblin': 1.15, 'Ghost': 1.0, 'Ghoul': 1.0})",pd.Series.replace,pd.Series.map
0,grupo-bimbo-inventory-demand,https://www.kaggle.com/kobakhit/xgboost,"train.loc[(train['Demanda_uni_equil'] < 51), :]","train.ix[(train['Demanda_uni_equil'] < 51), :]",pd.DataFrame.loc,pd.DataFrame.ix
0,grupo-bimbo-inventory-demand,https://www.kaggle.com/nemethpeter42/valami,"df_Train.loc[:, (['Cliente_ID', 'Demanda_uni_equil'])]","df_Train.ix[:, (['Cliente_ID', 'Demanda_uni_equil'])]",pd.DataFrame.loc,pd.DataFrame.ix
0,grupo-bimbo-inventory-demand,https://www.kaggle.com/zstuwangrui/start-up,np.ones(df_test.shape[0]),np.empty(df_test.shape[0]); r2.fill(1),np.ones,np.empty
